z,sigmoid,tanh
-4.43,0.0117742060167972,-0.999716130168434
-4.42,0.011891131644387,-0.999710396447816
-4.41,0.0120092043099274,-0.999704546932242
-4.4,0.0121284349842742,-0.999698579283881
-4.39,0.0122488347375965,-0.99969249111773
-4.38,0.0123704147401624,-0.999686280000666
-4.37,0.0124931862631296,-0.999679943450476
-4.36,0.0126171606793387,-0.999673478934864
-4.35,0.0127423494641116,-0.999666883870445
-4.34,0.0128687641960525,-0.999660155621717
-4.33,0.0129964165578534,-0.999653291500006
-4.32,0.0131253183371028,-0.9996462887624
-4.31,0.0132554814270988,-0.999639144610653
-4.3,0.0133869178276648,-0.999631856190073
-4.29,0.0135196396459696,-0.999624420588382
-4.28,0.0136536590973509,-0.999616834834557
-4.27,0.0137889885061416,-0.999609095897651
-4.26,0.0139256403065004,-0.999601200685578
-4.25,0.0140636270432455,-0.99959314604389
-4.24,0.0142029613726911,-0.999584928754515
-4.23,0.0143436560634881,-0.999576545534482
-4.22,0.0144857239974669,-0.999567993034607
-4.21,0.0146291781704843,-0.999559267838166
-4.2,0.0147740316932731,-0.999550366459533
-4.19,0.0149202977922942,-0.999541285342794
-4.18,0.0150679898105928,-0.999532020860328
-4.17,0.0152171212086563,-0.99952256931137
-4.16,0.0153677055652755,-0.999512926920537
-4.15,0.0155197565784089,-0.999503089836321
-4.14,0.0156732880660486,-0.999493054129567
-4.13,0.0158283139670898,-0.999482815791901
-4.12,0.0159848483422026,-0.999472370734143
-4.11,0.0161429053747052,-0.999461714784678
-4.1,0.0163024993714409,-0.999450843687797
-4.09,0.0164636447636563,-0.99943975310201
-4.08,0.0166263561078816,-0.999428438598316
-4.07,0.0167906480868138,-0.999416895658445
-4.06,0.0169565355102008,-0.999405119673064
-4.05,0.0171240333157277,-0.999393105939942
-4.04,0.0172931565699054,-0.999380849662089
-4.03,0.0174639204689597,-0.999368345945844
-4.02,0.0176363403397227,-0.999355589798937
-4.01,0.0178104316405254,-0.999342576128504
-4,0.0179862099620916,-0.999329299739067
-3.99,0.0181636910284325,-0.99931575533047
-3.98,0.0183428906977433,-0.99930193749578
-3.97,0.0185238249632994,-0.999287840719135
-3.96,0.0187065099543546,-0.999273459373564
-3.95,0.018890961937039,-0.999258787718747
-3.94,0.0190771973152582,-0.999243819898746
-3.93,0.0192652326315917,-0.999228549939677
-3.92,0.019455084568193,-0.999212971747347
-3.91,0.0196467699476887,-0.999197079104834
-3.9,0.0198403057340775,-0.999180865670028
-3.89,0.0200357090336297,-0.999164324973113
-3.88,0.0202329970957854,-0.99914745041401
-3.87,0.020432187314053,-0.999130235259758
-3.86,0.0206332972269062,-0.999112672641851
-3.85,0.0208363445186804,-0.999094755553519
-3.84,0.0210413470204683,-0.999076476846952
-3.83,0.0212483227110135,-0.999057829230474
-3.82,0.0214572897176035,-0.999038805265659
-3.81,0.0216682663169605,-0.999019397364387
-3.8,0.0218812709361305,-0.998999597785841
-3.79,0.0220963221533702,-0.998979398633453
-3.78,0.0223134386990322,-0.998958791851778
-3.77,0.0225326394564473,-0.998937769223312
-3.76,0.022753943462804,-0.998916322365245
-3.75,0.0229773699100256,-0.998894442726153
-3.74,0.0232029381456441,-0.998872121582616
-3.73,0.0234306676736703,-0.998849350035779
-3.72,0.0236605781554612,-0.998826119007838
-3.71,0.0238926894105828,-0.998802419238461
-3.7,0.0241270214176692,-0.998778241281131
-3.69,0.0243635943152778,-0.998753575499424
-3.68,0.0246024284027394,-0.99872841206321
-3.67,0.0248435441410037,-0.998702740944777
-3.66,0.0250869621534798,-0.998676551914886
-3.65,0.0253327032268717,-0.998649834538734
-3.64,0.0255807883120077,-0.998622578171854
-3.63,0.0258312385246641,-0.998594771955917
-3.62,0.0260840751463829,-0.998566404814467
-3.61,0.0263393196252834,-0.998537465448561
-3.6,0.0265969935768659,-0.998507942332327
-3.59,0.0268571187848097,-0.99847782370843
-3.58,0.027119717201763,-0.998447097583458
-3.57,0.0273848109501257,-0.99841575172321
-3.56,0.0276524223228231,-0.998383773647888
-3.55,0.027922573784073,-0.998351150627203
-3.54,0.0281952879701426,-0.998317869675382
-3.53,0.0284705876900972,-0.99828391754607
-3.52,0.02874849592654,-0.998249280727141
-3.51,0.0290290358363408,-0.998213945435404
-3.5,0.0293122307513563,-0.998177897611199
-3.49,0.0295981041791392,-0.998141122912899
-3.48,0.0298866798036362,-0.998103606711293
